bairro,qtd_idosos,cidade,estado,full_address,latitude,longitude
ACACIO FIGUEIREDO,426,CAMPINA GRANDE,PB,ACACIO FIGUEIREDO CAMPINA GRANDE PB,-7.2667592,-35.9192931
ALTO BRANCO,443,CAMPINA GRANDE,PB,ALTO BRANCO CAMPINA GRANDE PB,-7.203853,-35.8797893
ALTO DA SERRA,2,CAMPINA GRANDE,PB,ALTO DA SERRA CAMPINA GRANDE PB,-7.1942231,-35.8988357
ANA AMELIA,59,CAMPINA GRANDE,PB,ANA AMELIA CAMPINA GRANDE PB,-7.2291602,-35.9342453
ARAXA,170,CAMPINA GRANDE,PB,ARAXÁ CAMPINA GRANDE PB,-7.202649,-35.9056734
AREA RURAL,168,CAMPINA GRANDE,PB,AREA RURAL CAMPINA GRANDE PB,-7.2290752,-35.8808337
ASSENTAMENTO,2,CAMPINA GRANDE,PB,ASSENTAMENTO CAMPINA GRANDE PB,-7.2290752,-35.8808337
BELA VISTA,318,CAMPINA GRANDE,PB,BELA VISTA CAMPINA GRANDE PB,-7.2199108,-35.901587
BELO MONTE,14,CAMPINA GRANDE,PB,BELO MONTE CAMPINA GRANDE PB,-7.2195266,-35.8589394
BODOCONGO,1591,CAMPINA GRANDE,PB,BODOCONGO CAMPINA GRANDE PB,-7.2184353,-35.9179312
CACHOEIRA,4,CAMPINA GRANDE,PB,CACHOEIRA CAMPINA GRANDE PB,-7.1353117,-35.7882911
CARLOS ANTONIO DA COSTA,1,CAMPINA GRANDE,PB,CARLOS ANTONIO DA COSTA CAMPINA GRANDE PB,-7.2423201,-35.9286699
CASTELO BRANCO,117,CAMPINA GRANDE,PB,CASTELO BRANCO CAMPINA GRANDE PB,-7.2130882,-35.8648
CATOLE,1101,CAMPINA GRANDE,PB,CATOLE CAMPINA GRANDE PB,-7.2308923,-35.8797893
CATOLE DE BOA VISTA,223,CAMPINA GRANDE,PB,CATOLÉ DE BOA VISTA CAMPINA GRANDE PB,-7.2450447,-35.8921151
CATOLE DE ZE FERREIRA,64,CAMPINA GRANDE,PB,CATOLE DE ZÉ FERREIRA CAMPINA GRANDE PB,-7.2730146,-35.9124835
CEHAP,1,CAMPINA GRANDE,PB,CEHAP CAMPINA GRANDE PB,-7.2412777,-35.8732631
CENTENARIO,457,CAMPINA GRANDE,PB,CENTENARIO CAMPINA GRANDE PB,-7.2274271,-35.9056734
CENTRO,252,CAMPINA GRANDE,PB,CENTRO CAMPINA GRANDE PB,-7.2218777,-35.8797893
CIDADES,496,CAMPINA GRANDE,PB,CIDADES CAMPINA GRANDE PB,-7.2728651,-35.9276496
CINZA,57,CAMPINA GRANDE,PB,CINZA CAMPINA GRANDE PB,-7.253361,-35.925905
CONCEICAO,296,CAMPINA GRANDE,PB,CONCEIÇAO CAMPINA GRANDE PB,-7.2111244,-35.8866017
CRUZEIRO,592,CAMPINA GRANDE,PB,CRUZEIRO CAMPINA GRANDE PB,-7.2559681,-35.901587
CUITES,171,CAMPINA GRANDE,PB,CUITÉS CAMPINA GRANDE PB,-7.1928831,-35.901587
DINAMERICA,195,CAMPINA GRANDE,PB,DINAMERICA CAMPINA GRANDE PB,-7.2357006,-35.9138455
DISTRITO DOS MECANICOS,9,CAMPINA GRANDE,PB,DISTRITO DOS MECÂNICOS CAMPINA GRANDE PB,-7.256791,-35.897711
