bairro,populacao_bairro,qtd_idosos,cidade,estado,full_address,latitude,longitude,proporcao_idosos
ACACIO FIGUEIREDO,5300,426,CAMPINA GRANDE,PB,ACACIO FIGUEIREDO CAMPINA GRANDE PB,-7.2667592,-35.9192931,0.08037735849056604
ALTO BRANCO,2850,443,CAMPINA GRANDE,PB,ALTO BRANCO CAMPINA GRANDE PB,-7.203853,-35.8797893,0.15543859649122807
ARAXA,751,170,CAMPINA GRANDE,PB,ARAXÁ CAMPINA GRANDE PB,-7.202649,-35.9056734,0.22636484687083888
AREA RURAL,3910,168,CAMPINA GRANDE,PB,AREA RURAL CAMPINA GRANDE PB,-7.2290752,-35.8808337,0.04296675191815857
BELA VISTA,5070,318,CAMPINA GRANDE,PB,BELA VISTA CAMPINA GRANDE PB,-7.2199108,-35.901587,0.06272189349112427
BODOCONGO,6788,1591,CAMPINA GRANDE,PB,BODOCONGO CAMPINA GRANDE PB,-7.2184353,-35.9179312,0.2343842074248674
CASTELO BRANCO,1895,117,CAMPINA GRANDE,PB,CASTELO BRANCO CAMPINA GRANDE PB,-7.2130882,-35.8648,0.06174142480211082
CATOLE,14554,1101,CAMPINA GRANDE,PB,CATOLE CAMPINA GRANDE PB,-7.2308923,-35.8797893,0.07564930603270578
CENTENARIO,3301,457,CAMPINA GRANDE,PB,CENTENARIO CAMPINA GRANDE PB,-7.2274271,-35.9056734,0.13844289609209331
CENTRO,7527,252,CAMPINA GRANDE,PB,CENTRO CAMPINA GRANDE PB,-7.2218777,-35.8797893,0.03347947389398167
CIDADES,4042,496,CAMPINA GRANDE,PB,CIDADES CAMPINA GRANDE PB,-7.2728651,-35.9276496,0.12271152894606631
CONCEICAO,2439,296,CAMPINA GRANDE,PB,CONCEIÇAO CAMPINA GRANDE PB,-7.2111244,-35.8866017,0.12136121361213612
CRUZEIRO,10021,592,CAMPINA GRANDE,PB,CRUZEIRO CAMPINA GRANDE PB,-7.2559681,-35.901587,0.059075940524897716
CUITES,924,171,CAMPINA GRANDE,PB,CUITÉS CAMPINA GRANDE PB,-7.1928831,-35.901587,0.18506493506493507
